epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.276,1.39669,3.14041,1.4574,0.73895,0.27264,0.28725,0.18243,1.25131,1.47822,1.27938,0.000332526,0.000332526,0.000332526
2,220.651,1.29912,1.85045,1.35614,0.88775,0.24917,0.27612,0.17398,1.21582,1.36254,1.26473,0.000599939,0.000599939,0.000599939
3,311.957,1.27273,1.46226,1.32912,0.88818,0.25518,0.2781,0.17793,1.19439,1.31057,1.26065,0.000801353,0.000801353,0.000801353
4,403.972,1.24464,1.33167,1.31049,0.90989,0.24897,0.29208,0.19048,1.18347,1.18685,1.24368,0.000703,0.000703,0.000703
5,497.236,1.18214,1.22727,1.26677,0.92405,0.2723,0.3235,0.22324,1.11942,1.04368,1.18311,0.000604,0.000604,0.000604
6,591.368,1.14003,1.1535,1.23804,0.22977,0.40997,0.33341,0.23619,1.06071,1.01844,1.15461,0.000505,0.000505,0.000505
7,659.639,1.11166,1.08343,1.21395,0.21999,0.38664,0.32403,0.2285,1.04974,1.00559,1.15318,0.000406,0.000406,0.000406
8,724.721,1.05799,1.01694,1.18782,0.27835,0.39375,0.34543,0.24838,1.01622,0.88593,1.13821,0.000307,0.000307,0.000307
9,791.369,1.03843,0.9706,1.17174,0.29653,0.42978,0.3636,0.26723,0.99103,0.85906,1.12115,0.000208,0.000208,0.000208
10,858.315,0.99716,0.94175,1.1424,0.27955,0.44645,0.36012,0.26422,0.98711,0.83828,1.11201,0.000109,0.000109,0.000109
