epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.729,1.50231,2.32144,1.62897,0.81605,0.21187,0.19405,0.10517,1.49292,1.64221,1.5904,0.00033293,0.00033293,0.00033293
2,469.702,1.52073,1.74141,1.60806,0.84844,0.20158,0.22043,0.12528,1.42075,1.66145,1.51506,0.000600303,0.000600303,0.000600303
3,669.267,1.43595,1.60833,1.52342,0.85186,0.21861,0.24363,0.14281,1.38779,1.49583,1.4885,0.000801676,0.000801676,0.000801676
4,878.118,1.36231,1.45896,1.46981,0.86644,0.22749,0.24615,0.15478,1.28817,1.34381,1.39921,0.000703,0.000703,0.000703
5,1079.32,1.29118,1.37776,1.41571,0.90473,0.2446,0.28565,0.18545,1.20382,1.22119,1.33724,0.000604,0.000604,0.000604
6,1286.62,1.23523,1.30469,1.37061,0.90613,0.24885,0.28808,0.19237,1.16644,1.16084,1.31572,0.000505,0.000505,0.000505
7,1499.97,1.17704,1.22346,1.34055,0.89638,0.25456,0.2902,0.19764,1.11426,1.11899,1.25403,0.000406,0.000406,0.000406
8,1709.73,1.14677,1.16323,1.31905,0.91052,0.25337,0.30756,0.21179,1.08486,1.05889,1.25648,0.000307,0.000307,0.000307
9,1913.44,1.09373,1.11109,1.27948,0.90488,0.27299,0.30898,0.21536,1.06897,1.02147,1.2413,0.000208,0.000208,0.000208
10,2113.92,1.05907,1.0709,1.24681,0.92118,0.26114,0.30676,0.21641,1.04508,0.99141,1.21888,0.000109,0.000109,0.000109
