epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.803,1.43132,3.15782,1.47754,0.85492,0.24413,0.25224,0.15711,1.25725,1.46231,1.26386,0.000332526,0.000332526,0.000332526
2,238.714,1.33235,1.90426,1.38106,0.86842,0.23046,0.28087,0.1776,1.28701,1.42738,1.32197,0.000599939,0.000599939,0.000599939
3,337.66,1.31044,1.50908,1.34834,0.88885,0.2398,0.27709,0.17462,1.26077,1.30647,1.30391,0.000801353,0.000801353,0.000801353
4,434.2,1.26758,1.39113,1.34485,0.88223,0.22962,0.25669,0.16057,1.25018,1.36493,1.30595,0.000703,0.000703,0.000703
5,530.992,1.21036,1.28415,1.29533,0.90701,0.2606,0.31404,0.21595,1.12681,1.10655,1.20803,0.000604,0.000604,0.000604
6,620.524,1.1658,1.20862,1.25908,0.91751,0.25902,0.31851,0.22099,1.10969,1.05529,1.19313,0.000505,0.000505,0.000505
7,718.432,1.12181,1.14661,1.22793,0.2209,0.41345,0.31614,0.21859,1.08332,1.07098,1.1771,0.000406,0.000406,0.000406
8,792.891,1.07991,1.08414,1.20024,0.23642,0.41156,0.34986,0.2495,1.04549,0.93989,1.1523,0.000307,0.000307,0.000307
9,874.708,1.05321,1.02598,1.18093,0.22135,0.3835,0.34802,0.25261,1.0144,0.93013,1.13045,0.000208,0.000208,0.000208
10,960.063,1.02136,0.98839,1.15976,0.25599,0.48497,0.35421,0.25992,0.99408,0.9108,1.12399,0.000109,0.000109,0.000109
