epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.3447,1.49658,2.69954,1.50282,0.51417,0.32591,0.24634,0.14881,1.32361,1.5865,1.35327,0.00033293,0.00033293,0.00033293
2,179.026,1.43491,1.90474,1.44969,0.88774,0.24341,0.2886,0.18238,1.24037,1.44568,1.31401,0.000633283,0.000633283,0.000633283
3,260.865,1.41312,1.67608,1.42244,0.89327,0.25923,0.29212,0.18973,1.19961,1.23756,1.29874,0.000900636,0.000900636,0.000900636
4,343.431,1.38926,1.59538,1.42121,0.88121,0.25195,0.28223,0.1791,1.21227,1.2514,1.31002,0.0008515,0.0008515,0.0008515
5,425.51,1.34544,1.51117,1.39496,0.54213,0.33859,0.31794,0.20989,1.19368,1.15447,1.27064,0.000802,0.000802,0.000802
6,507.259,1.32452,1.47067,1.3731,0.91983,0.26578,0.3243,0.22227,1.12489,1.05458,1.24232,0.0007525,0.0007525,0.0007525
7,588.621,1.29429,1.41803,1.36207,0.36617,0.43257,0.32491,0.22159,1.14206,1.06783,1.24613,0.000703,0.000703,0.000703
8,671.444,1.28363,1.37316,1.35366,0.75222,0.28947,0.30858,0.2104,1.09458,1.16985,1.20987,0.0006535,0.0006535,0.0006535
9,753.124,1.26621,1.36979,1.34198,0.19803,0.35149,0.30819,0.20747,1.09832,1.12847,1.21317,0.000604,0.000604,0.000604
10,834.546,1.24176,1.32409,1.32494,0.41514,0.38789,0.35468,0.25005,1.05672,0.99776,1.197,0.0005545,0.0005545,0.0005545
11,917.303,1.10953,1.10596,1.26044,0.25043,0.43381,0.34889,0.24856,1.06211,0.98275,1.18989,0.000505,0.000505,0.000505
12,998.317,1.09692,1.08616,1.24358,0.22867,0.40508,0.33252,0.23544,1.06578,0.98895,1.19835,0.0004555,0.0004555,0.0004555
13,1079.26,1.07931,1.05614,1.23577,0.24833,0.41737,0.34448,0.24421,1.04462,0.94458,1.18849,0.000406,0.000406,0.000406
14,1159.66,1.05584,1.0176,1.21607,0.28677,0.39955,0.35921,0.26,1.01404,0.933,1.16831,0.0003565,0.0003565,0.0003565
15,1241.05,1.0379,0.99157,1.20818,0.28856,0.49136,0.3615,0.26423,1.02639,0.95325,1.16939,0.000307,0.000307,0.000307
16,1322.3,1.01457,0.96393,1.19175,0.28821,0.46161,0.36735,0.26655,1.00973,0.88291,1.16951,0.0002575,0.0002575,0.0002575
17,1403.24,1.00051,0.93485,1.181,0.28875,0.43852,0.36442,0.26563,1.00125,0.88322,1.14949,0.000208,0.000208,0.000208
18,1483.95,0.9865,0.91391,1.16882,0.29803,0.42862,0.37124,0.27114,0.99446,0.86073,1.15484,0.0001585,0.0001585,0.0001585
19,1565.79,0.9759,0.90132,1.16036,0.27119,0.40184,0.36664,0.26854,0.98453,0.83536,1.14824,0.000109,0.000109,0.000109
20,1646.55,0.96401,0.86694,1.15398,0.31839,0.46301,0.38039,0.28,0.97644,0.82191,1.14122,5.95e-05,5.95e-05,5.95e-05
