epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.503,1.43521,3.09211,1.45638,0.70106,0.2805,0.25165,0.15678,1.25033,1.43824,1.29191,0.000332498,0.000332498,0.000332498
2,221.632,1.32382,1.8686,1.36189,0.88157,0.23106,0.26275,0.16756,1.22099,1.4344,1.27353,0.000599914,0.000599914,0.000599914
3,313.692,1.29155,1.49755,1.35162,0.90121,0.23734,0.27149,0.17527,1.22682,1.28067,1.2947,0.00080133,0.00080133,0.00080133
4,404.856,1.26015,1.33313,1.31583,0.90026,0.24783,0.28295,0.18511,1.19086,1.19514,1.23469,0.000703,0.000703,0.000703
5,496.397,1.21694,1.24019,1.28147,0.52598,0.39119,0.29155,0.18858,1.2483,1.16952,1.27477,0.000604,0.000604,0.000604
6,588.223,1.16618,1.15007,1.24954,0.91054,0.27451,0.32993,0.2273,1.08347,1.04955,1.19911,0.000505,0.000505,0.000505
7,679.315,1.11471,1.08115,1.21257,0.92138,0.27547,0.33287,0.23633,1.06991,0.99803,1.16928,0.000406,0.000406,0.000406
8,770.46,1.08403,1.04165,1.19591,0.56881,0.39176,0.33531,0.24133,1.0365,0.97419,1.15305,0.000307,0.000307,0.000307
9,861.39,1.05098,0.98937,1.16689,0.5958,0.38886,0.34289,0.24466,1.02918,0.93595,1.14347,0.000208,0.000208,0.000208
10,952.23,1.01795,0.93889,1.14869,0.58508,0.40464,0.34872,0.25261,1.01212,0.88744,1.13288,0.000109,0.000109,0.000109
