epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9054,1.47036,1.59742,1.50561,0.26183,0.43067,0.32942,0.22345,1.14636,1.09184,1.25071,0.00033293,0.00033293,0.00033293
2,177.607,1.28281,1.36559,1.35949,0.39486,0.38673,0.33671,0.23535,1.09165,1.00969,1.21982,0.000649773,0.000649773,0.000649773
3,261.608,1.26319,1.3428,1.33624,0.40809,0.35475,0.32314,0.22028,1.10762,1.05172,1.23073,0.000950116,0.000950116,0.000950116
4,344.335,1.24472,1.31628,1.33683,0.73812,0.32465,0.32063,0.22092,1.0998,1.01666,1.22785,0.00092575,0.00092575,0.00092575
5,427.68,1.22875,1.2942,1.3273,0.58855,0.36878,0.34357,0.24054,1.07854,0.98196,1.21417,0.000901,0.000901,0.000901
6,511.063,1.22219,1.2772,1.31334,0.26298,0.47603,0.35078,0.24807,1.08583,0.94183,1.2105,0.00087625,0.00087625,0.00087625
7,593.467,1.2041,1.25561,1.31277,0.27504,0.46132,0.3481,0.24107,1.1138,0.93901,1.23797,0.0008515,0.0008515,0.0008515
8,676.391,1.20333,1.22693,1.30684,0.23523,0.44932,0.33813,0.23605,1.05901,0.95411,1.1907,0.00082675,0.00082675,0.00082675
9,759.44,1.19067,1.23207,1.29822,0.28064,0.46636,0.35869,0.25098,1.06462,0.93994,1.18851,0.000802,0.000802,0.000802
10,842.827,1.17766,1.1947,1.2872,0.44271,0.37976,0.37535,0.26706,1.07071,0.89715,1.19825,0.00077725,0.00077725,0.00077725
11,925.829,1.17959,1.1983,1.28786,0.33989,0.41683,0.3654,0.26116,1.05492,0.88956,1.19449,0.0007525,0.0007525,0.0007525
12,1008.86,1.18027,1.19842,1.29604,0.25915,0.47787,0.35992,0.25667,1.06201,0.91343,1.19259,0.00072775,0.00072775,0.00072775
13,1092.22,1.17425,1.17659,1.28998,0.2758,0.46264,0.35983,0.25818,1.03528,0.87866,1.18391,0.000703,0.000703,0.000703
14,1174.71,1.16056,1.16972,1.28082,0.47003,0.33528,0.35304,0.25083,1.03704,0.88974,1.18289,0.00067825,0.00067825,0.00067825
15,1257.65,1.16083,1.15915,1.27816,0.30177,0.45723,0.36835,0.25763,1.06223,0.90088,1.20198,0.0006535,0.0006535,0.0006535
16,1340.73,1.13915,1.13149,1.26854,0.34151,0.37991,0.36853,0.2614,1.04865,0.89297,1.18939,0.00062875,0.00062875,0.00062875
17,1423.42,1.13475,1.12624,1.26843,0.56014,0.36935,0.37829,0.27169,1.03057,0.85888,1.17148,0.000604,0.000604,0.000604
18,1506.65,1.13712,1.11571,1.2596,0.2952,0.43605,0.34913,0.24599,1.06349,0.91528,1.19834,0.00057925,0.00057925,0.00057925
19,1589.97,1.13514,1.11166,1.26509,0.52125,0.36726,0.37198,0.26577,1.03921,0.85959,1.18512,0.0005545,0.0005545,0.0005545
20,1673.32,1.13478,1.10159,1.26175,0.30692,0.38937,0.37645,0.26924,1.0363,0.84677,1.1799,0.00052975,0.00052975,0.00052975
21,1756.09,1.12743,1.09287,1.25332,0.35667,0.41057,0.3913,0.27728,1.06029,0.83817,1.19394,0.000505,0.000505,0.000505
22,1838.98,1.11742,1.08402,1.24781,0.34076,0.46984,0.37835,0.27268,1.0295,0.88038,1.1746,0.00048025,0.00048025,0.00048025
23,1922.44,1.12421,1.08171,1.2531,0.36191,0.43882,0.39772,0.29094,1.0048,0.82141,1.16043,0.0004555,0.0004555,0.0004555
24,2005.19,1.10917,1.07069,1.24516,0.58611,0.37557,0.40515,0.2934,1.02286,0.8178,1.17428,0.00043075,0.00043075,0.00043075
25,2088.11,1.10331,1.05275,1.24111,0.33968,0.49821,0.40361,0.29364,1.0271,0.82664,1.1748,0.000406,0.000406,0.000406
26,2171.35,1.09216,1.03186,1.23757,0.31884,0.46247,0.38606,0.28021,1.02369,0.83673,1.1629,0.00038125,0.00038125,0.00038125
27,2253.93,1.09813,1.04859,1.23916,0.36757,0.44769,0.39386,0.2846,1.01532,0.82327,1.16223,0.0003565,0.0003565,0.0003565
28,2336.98,1.09552,1.02708,1.23485,0.33434,0.45549,0.3952,0.28726,1.00645,0.79405,1.15765,0.00033175,0.00033175,0.00033175
29,2420.48,1.07371,1.00713,1.22063,0.34301,0.45441,0.39572,0.28962,1.00286,0.78902,1.16324,0.000307,0.000307,0.000307
30,2503.3,1.08917,1.00923,1.23441,0.35067,0.46112,0.40231,0.29177,1.01796,0.80259,1.1637,0.00028225,0.00028225,0.00028225
31,2587.12,0.94632,0.78047,1.14073,0.35615,0.44867,0.4017,0.28893,1.0091,0.80783,1.16051,0.0002575,0.0002575,0.0002575
32,2669.62,0.93177,0.75864,1.13438,0.35658,0.50376,0.40663,0.29637,1.02563,0.79587,1.16946,0.00023275,0.00023275,0.00023275
33,2751.44,0.91971,0.74803,1.12495,0.3877,0.51055,0.41493,0.30177,1.01364,0.80908,1.161,0.000208,0.000208,0.000208
34,2833.78,0.91959,0.74422,1.12568,0.35997,0.48807,0.4054,0.29925,1.00361,0.79904,1.15883,0.00018325,0.00018325,0.00018325
35,2916.03,0.91013,0.73319,1.12041,0.38725,0.48496,0.40888,0.30217,0.99418,0.79069,1.15947,0.0001585,0.0001585,0.0001585
36,2998.59,0.90825,0.72104,1.11855,0.37521,0.44218,0.40931,0.30166,0.99778,0.77632,1.15858,0.00013375,0.00013375,0.00013375
37,3080.52,0.8994,0.71119,1.11178,0.35789,0.48608,0.41591,0.30764,0.99478,0.7928,1.15422,0.000109,0.000109,0.000109
38,3162.98,0.89842,0.70219,1.10914,0.37129,0.45795,0.41192,0.30442,0.99365,0.78383,1.15316,8.425e-05,8.425e-05,8.425e-05
39,3245.42,0.8883,0.69597,1.10299,0.38411,0.44458,0.43317,0.3208,0.99873,0.79229,1.15486,5.95e-05,5.95e-05,5.95e-05
40,3327.08,0.88225,0.69392,1.10253,0.39972,0.44309,0.41687,0.30974,0.99668,0.78288,1.15186,3.475e-05,3.475e-05,3.475e-05
