epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.228,1.39204,3.05067,1.42832,0.85368,0.25442,0.27522,0.17302,1.24203,1.42813,1.2863,0.000332498,0.000332498,0.000332498
2,180.708,1.30125,1.79678,1.34161,0.91253,0.26077,0.30161,0.18712,1.27459,1.23148,1.27698,0.000599914,0.000599914,0.000599914
3,246.002,1.27595,1.41408,1.32107,0.72278,0.32564,0.32425,0.21809,1.13935,1.12058,1.22479,0.00080133,0.00080133,0.00080133
4,311.689,1.24795,1.26335,1.2985,0.92045,0.27371,0.32601,0.22433,1.10845,1.06348,1.19688,0.000703,0.000703,0.000703
5,376.392,1.18664,1.16638,1.26055,0.55088,0.39902,0.32904,0.2233,1.12454,0.98901,1.18893,0.000604,0.000604,0.000604
6,442.37,1.14516,1.08564,1.23188,0.93411,0.2761,0.32807,0.22703,1.09088,0.99199,1.18162,0.000505,0.000505,0.000505
7,507.098,1.09783,1.03061,1.2018,0.6065,0.42068,0.35928,0.2562,1.04958,0.90948,1.14191,0.000406,0.000406,0.000406
8,571.054,1.06977,0.98192,1.18036,0.60692,0.39879,0.36313,0.26191,1.0156,0.89999,1.1414,0.000307,0.000307,0.000307
9,635.256,1.02503,0.93131,1.15456,0.62213,0.42495,0.36311,0.2619,1.0054,0.85662,1.12726,0.000208,0.000208,0.000208
10,699.566,0.99808,0.87893,1.13673,0.63494,0.42328,0.37018,0.27123,0.9847,0.81741,1.1127,0.000109,0.000109,0.000109
